"","EOMES","MHC-II","CD30","CCR5","CD4","CD8","MHC-I","CD25","CD57","Tim3","PD-L2","pStat1","PD-1","B2M","CCR4","CCR7","Tbet","PD-L1","FoxP3","CXCR5","CD161","CD45RO","GranzymeB","CD73","CD3","pS6","IRF4","ki-67","CD15","CD56","CD16"
"7487",0.455510341750197,1.96678402808253,-0.344692277614133,-0.785308566477382,-0.154808271056616,-0.829019936645854,0.643765301090776,-0.448887408009094,-0.254951355093541,2.90394027580485,-0.150338274379031,2.67256569368674,-0.704287919040733,-0.0228012212095142,-0.0685669018089172,-0.80963820001944,-0.888436019396567,-0.371744606471034,0.20806490446944,-0.338869439848777,-0.702842157766135,-0.337461800484496,-0.563922067925526,-0.271927203590771,-2.63931581035089,3.82635762017206,1.19437650247629,-0.171059636253458,-0.149237566994555,-0.266934115619469,-0.280038399963304
"7488",-1.00782344979785,1.89144139162137,-0.34548292762169,-0.799777842652082,-1.04236305766921,-0.914501296233091,-0.181679628862905,-0.447976741463932,-0.407969980232965,-0.251564780656535,-0.151862202939013,-1.16121345937675,-0.704385031254063,-0.151162296991472,-0.398422451426415,0.172427592159661,-0.888771932810365,-0.372309274221569,-0.667462145758411,3.49421428829241,-0.702496895662786,-1.07125978312761,-0.563907503647682,4,-2.63492599783511,0.641119948846608,3.53451278500816,-0.339290561069766,-0.150879342559522,-0.266952106533547,-0.279255365575131
"7489",1.44136531830247,0.810405908403597,-0.344742891691246,0.684133232167961,-1.04248661172834,1.46077772105363,0.488922314325337,-0.44889882885802,0.563611385974048,-0.251404168774737,-0.150872957048808,-0.378376704072603,2.24558882094789,0.751510035155753,1.35005890306736,-0.80950957868127,0.121042594608912,-0.371782374971554,0.491532801333298,-0.338533608085742,-0.703050514515389,1.14007698317204,-0.563240392494489,-0.267630475189203,0.00283123200511918,0.180736860900194,-0.31127742121451,-0.339209635565275,-0.150954821906545,-0.267188510887156,-0.281122253968171
"7490",1.62306094296799,2.39329038458256,-0.341654549208763,0.139117295710658,-1.04270361494082,1.26584414107865,0.159772655294948,-0.448895777358998,-0.553054145608069,-0.250488920449386,-0.151468819701982,-0.149958798108192,1.33018700145781,0.289085871331086,0.160506379538351,-0.809900081638027,0.431639175562998,-0.372040852731122,0.780263746250614,-0.339186246443534,-0.703060953312437,0.320488460158612,-0.280522091037671,-0.272123707752748,-0.717651222874694,0.221577543098104,1.33325189957999,3.26054653755166,-0.150534854299988,-0.266775313026848,-0.281145051641748
"7491",0.64427513041718,0.668164455403401,-0.344154882323941,0.437219209571187,1.06291850158453,-0.538989327123711,0.522952319755931,-0.448587531272247,1.39015274236941,-0.251792563363461,-0.151862255721379,-0.176295002442566,2.65992161763973,0.686311347404788,0.958045201194331,-0.622597864889175,-0.133026361637874,-0.369223904991086,-0.872999014386506,-0.338186394255335,-0.703080942843029,1.19837274516137,-0.563756191583617,-0.266505307457736,0.319296544603655,-0.238616785588954,-0.378916652816662,-0.339340519923425,-0.15082049488049,-0.267153385235653,-0.28107841574066
"7492",0.719364652728357,-0.15720983198504,-0.346194209953956,-0.393006595575733,-1.04265109070982,1.52890164396367,-0.0595509359476979,-0.448711756114934,-0.556196918933501,-0.25194510915857,-0.151627139065558,-0.47223636625332,-0.702782656747689,-0.159094035360862,-0.686658669641638,-0.809257751092675,-0.0623359968708753,-0.372109369723858,0.892847730190885,-0.339233319828514,-0.703055269450538,-1.06973253146273,-0.563985569945496,-0.267132219073626,-0.974318278567366,-0.449463578017196,-0.65734419898292,-0.339520252834357,-0.150918808975897,-0.26714109948691,-0.281262933871504
"7493",1.13868860044297,0.743662612835667,2.37865574669625,0.909789296709773,0.992210145753691,-0.127345551573037,0.950571597818987,-0.44810021382699,2.33633121267657,-0.245686911978721,-0.148317927368062,-0.425710297938798,0.495228224734971,0.491989822055232,-0.68636499011189,-0.810181242187355,1.50077334557368,-0.369451821388397,-0.695683779245311,-0.339022140686121,0.108789724253057,1.28730411630515,1.67529424184816,-0.267998315504617,0.111372473463529,-0.398596322331601,-0.656245716076411,-0.339521626398792,-0.150861198578584,-0.266314001271351,-0.281043584792396
"7494",1.26753848028318,1.01798989054359,1.4285109124047,0.860426747759876,-0.834086329685475,1.57142772317357,0.922554753297544,-0.448848181486292,2.29375515411014,-0.248036809012544,-0.148753895095668,-0.868233426764799,0.585122858681066,0.662413302809274,-0.686230074960943,-0.810190835031015,1.47087782225354,-0.371696709218828,-0.0186788531390419,-0.339354105816916,-0.703171194136238,1.48473251416356,2.34096321652034,-0.262378698348952,0.436838955033425,-0.505073139201686,-0.656125927013474,-0.339456475784379,-0.150787261462357,-0.267006581616595,-0.280881894762913
"7495",-0.72875562213267,0.483338053064118,-0.34397934280185,-0.391286828901914,0.951959525493267,-0.73406783099602,0.28657574083402,4,-0.489599867011652,-0.251713971873917,-0.150103645352177,0.621936780497547,-0.448947420880612,0.597620531469726,2.13111439895128,-0.732279959695485,-0.806565730265708,-0.234479497432453,3.83615415812787,-0.338323206853454,-0.702895861113028,0.716098396654482,-0.564079194924997,-0.271153939967264,0.167997989113336,-0.406623151915451,0.75405678242788,-0.321133752712322,-0.150679673811875,-0.267108285374858,-0.281083744936382
"7496",1.19031417306469,-0.346246530551573,-0.346202206304935,-0.799428331584561,-1.02483773653678,-0.703945108843058,-0.216598108556771,-0.448694611099278,0.250030542011182,1.73920661990193,-0.151347218257986,-1.00215038525309,-0.704289628342016,-0.275423340911797,-0.686070299458547,-0.809309278301625,2.2804335476402,-0.371528388673977,-0.0936871423151007,-0.33823065949309,1.07423382606357,-1.07110715461965,1.67675577664413,-0.261794467593507,-2.65178969731297,0.374518687291214,0.0424414522809998,-0.339274459336898,-0.150860955280925,3.77942930465076,4
